caseNumber,p_minus_r,p_interruptions,p_words,p_times,p_laughter,p_num_counsel,p_num_int_by,r_interruptions,r_words,r_times,r_laughter,r_num_counsel,r_num_int_by,j_interruptions,j_words,j_times,j_laughter,j_num_int_by,side,margin,j_num
04-278,0.0018651745270450307,0.007194244604316547,64.70689655172414,0.015454303224087397,0,2,8,0.005329070077271516,35.96551724137931,0.015720756727950973,0,1,7,0.0010658140154543032,67.41379310344827,0.03224087396749267,0,4,1,5,9
15-674,0.0013908205841446453,0.010083449235048678,50.902654867256636,0.019645340751043114,0.0003477051460361613,2,7,0.008692628650904033,34.73451327433628,0.014951321279554937,0.00017385257301808066,2,7,0.0027816411682892906,60.15929203539823,0.03529207232267038,0.000521557719054242,5,0,0,8
13-298,-0.0024844720496894407,0.0037267080745341614,52.78688524590164,0.018944099378881987,0.00031055900621118014,1,6,0.006211180124223602,65.50819672131148,0.011490683229813664,0,2,6,0.004347826086956522,58.22950819672131,0.03229813664596273,0.0006211180124223603,5,0,9,9
11-1085,0.0020498804236419553,0.008199521694567818,57.3921568627451,0.01742398360095661,0.00034164673727365904,1,7,0.0061496412709258624,61.09803921568628,0.01434916296549368,0,2,5,0.0030748206354629312,70.3921568627451,0.03279808677827127,0.0006832934745473181,5,0,3,9
07-9712,0.002804487179487179,0.008814102564102564,31.59493670886076,0.031650641025641024,0,1,7,0.006009615384615385,29.025316455696203,0.019230769230769232,0,1,5,0.002003205128205128,76.62025316455696,0.052884615384615384,0,3,0,5,9
14-8358,0.0007117437722419925,0.0071174377224199285,58.541666666666664,0.01708185053380783,0,1,8,0.006405693950177936,52.770833333333336,0.016370106761565837,0,1,6,0.003202846975088968,79.79166666666667,0.038434163701067614,0.0017793594306049821,4,0,4,8
09-10876,0.0025174825174825183,0.009790209790209791,52.5735294117647,0.01902097902097902,0,1,7,0.007272727272727273,50.23529411764706,0.015664335664335664,0,1,4,0.0064335664335664336,66.73529411764706,0.03776223776223776,0,7,1,1,9
10-9646,0.0013451708366962606,0.009685230024213076,48.9078947368421,0.020446596717783157,0.0002690341673392521,1,6,0.008340059187516815,39.6578947368421,0.015873015873015872,0.0005380683346785041,1,7,0.005111649179445789,54.85526315789474,0.03847188592951305,0.0005380683346785041,6,1,1,9
10-1472,0.005090909090909091,0.010181818181818183,50,0.02,0.0003636363636363636,1,7,0.005090909090909091,56.96363636363636,0.013454545454545455,0.0003636363636363636,1,7,0.002181818181818182,59.2,0.03490909090909091,0.0032727272727272726,3,1,3,9
10-174,-0.0010260619741432383,0.004514672686230248,78.59677419354838,0.012723168479376155,0.00020521239482864764,2,6,0.005540734660373486,58.145161290322584,0.013544018058690745,0.00020521239482864764,1,6,0.003078185922429715,71.2741935483871,0.026472398932895547,0.0004104247896572953,3,1,8,8
06-694,0.004004576659038902,0.007723112128146453,62.42857142857143,0.016018306636155607,0,1,8,0.0037185354691075517,39.57142857142857,0.012299771167048055,0.0002860411899313501,1,6,0.0014302059496567505,79.91071428571429,0.02917620137299771,0.0005720823798627002,2,1,5,9
14-7955,0.00277392510402219,0.016181229773462782,29.22972972972973,0.03421174294960703,0,1,7,0.013407304669440592,41.391891891891895,0.025427646786870088,0,1,4,0.012944983818770227,76.16216216216216,0.06981044845122515,0,10,0,1,9
13-894,0.0006007810153199154,0.008410934214478822,58.40350877192982,0.017122258936617604,0,1,7,0.007810153199158907,54.6140350877193,0.01622108741363773,0,1,7,0.0015019525382997897,75.19298245614036,0.03424451787323521,0.00030039050765995795,4,0,5,9
09-1156,0.004777070063694268,0.012420382165605096,43.013698630136986,0.0232484076433121,0,1,8,0.007643312101910828,42.32876712328767,0.016560509554140127,0,2,7,0.009872611464968152,64.01369863013699,0.041719745222929934,0.0015923566878980893,7,0,9,9
06-10119,0.00024473813020068486,0.006852667645619187,61.90909090909091,0.016152716593245228,0.0004894762604013706,1,3,0.006607929515418502,37.72727272727273,0.01811062163485071,0.0004894762604013706,1,8,0.0053842388644150755,65.87878787878788,0.03573176700930005,0.0012236906510034262,2,1,5,9
09-1227,0.0015187676285528316,0.003471468865263615,83.8,0.011933174224343675,0,2,6,0.0019527012367107832,45.981818181818184,0.0054241701019743975,0,1,5,0.00043393360815795185,63.981818181818184,0.01757431113039705,0,1,1,9,9
09-475,0.0011570726063060456,0.010702921608330923,60.64912280701754,0.016488284639861153,0,2,5,0.009545849002024877,58.75438596491228,0.01995950245877929,0.0008678044547295343,1,5,0.0046282904252241824,61.40350877192982,0.03644778709864044,0.0008678044547295343,3,1,6,8
08-674,0.004677581022385567,0.012362178416304711,37.88607594936709,0.02639492148346141,0.0006682258603407952,2,8,0.007684597393919144,20.443037974683545,0.017707985299031073,0.0006682258603407952,1,6,0.005679919812896759,58.177215189873415,0.04644169729368527,0.001670564650851988,6,1,7,9
14-1418,-0.0005947660586835841,0.007335448057097542,74.17647058823529,0.013481363996827915,0,2,5,0.007930214115781126,72.13235294117646,0.014670896114195083,0,1,6,0.0021808088818398097,101.3970588235294,0.029540047581284694,0.0007930214115781126,6,1,8,8
11-460,0.0014757969303423853,0.007378984651711925,53.77777777777778,0.01859504132231405,0,1,6,0.0059031877213695395,44.96825396825397,0.01652892561983471,0.00029515938606847696,1,6,0.005017709563164109,64.4920634920635,0.045749704840613935,0.0014757969303423849,6,1,9,9
13-720,-0.0007671653241273493,0.006137322593018795,63.58536585365854,0.015726889144610665,0,1,7,0.006904487917146145,88.97560975609755,0.013425393172228616,0,2,4,0.0015343306482546988,74.07317073170732,0.029535864978902954,0.0003835826620636747,2,0,3,9
09-350,-0.010167029774872913,0.005083514887436456,50.07272727272727,0.019970951343500364,0,1,4,0.015250544662309368,55.63636363636363,0.02795933188090051,0,1,6,0.007262164124909223,75.2909090909091,0.05010893246187364,0,3,1,8,8
12-398,-0.00390777647518562,0.008597108245408363,43.3728813559322,0.023055881203595155,0,1,7,0.012504884720593983,53.42372881355932,0.02657288003126221,0.00039077764751856197,1,8,0.006643220007815553,88.32203389830508,0.05861664712778429,0.0007815552950371239,4,1,9,9
13-7120,-0.0009770395701025891,0.003419638495359062,95.20930232558139,0.010503175378602833,0,1,3,0.004396678065461651,74.25581395348837,0.010991695163654128,0.0002442598925256473,1,5,0.0019540791402051783,62.86046511627907,0.023204689789936492,0.0002442598925256473,5,1,7,9
07-9995,0.0013940520446096664,0.01254646840148699,37.75438596491228,0.02648698884758364,0,1,7,0.011152416356877323,66.29824561403508,0.031598513011152414,0,2,6,0.0023234200743494425,72.2280701754386,0.047397769516728624,0,3,0,9,9
15-290,0.00035574528637495606,0.006047669868374244,85.18181818181819,0.011739594450373533,0,1,5,0.005691924581999288,67.39393939393939,0.016008537886873,0,1,6,0.004980434009249377,139.06060606060606,0.03166133048737104,0,5,0,8,8
08-769,0.0019730351857941454,0.01183821111476488,44.720588235294116,0.02236106543900033,0.0003288391976323578,1,8,0.009865175928970734,49.30882352941177,0.01907267346267675,0,1,7,0.003946070371588293,68.04411764705883,0.0443932916803683,0.0013153567905294311,5,0,7,9
08-1200,-0.0018893387314439947,0.005128205128205128,86.16279069767442,0.011605937921727396,0,2,4,0.007017543859649123,68.09302325581395,0.014304993252361673,0.0002699055330634278,1,8,0.0024291497975708503,89.27906976744185,0.027530364372469637,0.0005398110661268556,4,1,5,9
11-864,-0.0026833631484794278,0.00655933214072749,78,0.01282051282051282,0.0002981514609421586,1,6,0.009242695289206918,69.11627906976744,0.02146690518783542,0.0005963029218843172,1,7,0.005068574836016696,100.74418604651163,0.035480023852116876,0.0017889087656529517,2,1,1,9
12-1036,0.0031889449906989105,0.006909380813180973,73.7843137254902,0.01355301621047037,0,1,7,0.0037204358224820623,61.19607843137255,0.013818761626361946,0,1,5,0.00451767207015679,69.58823529411765,0.02843475950039862,0.0007972362476747276,3,1,9,9
09-1403,0.0011412268188302427,0.0034236804564907277,83.45238095238095,0.011982881597717546,0,2,5,0.002282453637660485,62.42857142857143,0.009985734664764621,0,1,3,0.0019971469329529245,71.35714285714286,0.02282453637660485,0.0002853067047075606,3,1,9,9
06-1646,-0.0018913807079167788,0.004863550391786004,92.525,0.010807889759524453,0,1,5,0.006754931099702783,90.075,0.01405025668738179,0.0005403944879762226,1,7,0.0010807889759524452,79.55,0.024858146446906242,0,2,1,3,9
11-1347,0.0037206639954207206,0.010875787063537493,39.70454545454545,0.025186033199771037,0,2,6,0.007155123068116772,24.227272727272727,0.015168860904407555,0.0005724098454493417,1,8,0.0034344590726960505,63.81818181818182,0.04493417286777333,0.0008586147681740126,8,1,9,9
10-788,0.006713457430576747,0.010375343301800427,43.11842105263158,0.023191943851083308,0,1,8,0.00366188587122368,30.43421052631579,0.01464754348489472,0,1,5,0.0033567287152883735,55.026315789473685,0.04028074458346048,0.0006103143118706134,4,0,9,9
11-139,0.0025244556642473968,0.009782265698958662,66.02083333333333,0.01514673398548438,0,1,7,0.007257810034711265,69.97916666666667,0.012622278321236984,0,1,7,0.002840012622278321,86.85416666666667,0.028715683180814137,0.0009466708740927738,3,0,1,9
12-417,-0.0033862985152383436,0.004167752018754884,85.31111111111112,0.011721802552748111,0.00026048450117218026,1,7,0.007554050533993228,73.17777777777778,0.014066163063297733,0,2,5,0.0028653295128939827,71.28888888888889,0.026048450117218024,0.0018233915082052619,3,0,9,9
14-1373,0.000583941605839417,0.008175182481751826,77.8409090909091,0.012846715328467153,0,2,6,0.0075912408759124085,65.1590909090909,0.01927007299270073,0.00029197080291970805,1,5,0.003211678832116788,99.25,0.035036496350364967,0.00029197080291970805,6,1,2,8
07-1410,-0.0010921799912625603,0.00327653997378768,152.6,0.00655307994757536,0,1,6,0.00436871996505024,121,0.012887723896898209,0.000655307994757536,1,6,0.00327653997378768,85.1,0.019659239842726082,0,4,1,9,9
