"caseId","docketId","caseIssuesId","voteId","dateDecision","decisionType","usCite","sctCite","ledCite","lexisCite","term","naturalCourt","chief","docket","caseName","dateArgument","dateRearg","petitioner","petitionerState","respondent","respondentState","jurisdiction","adminAction","adminActionState","threeJudgeFdc","caseOrigin","caseOriginState","caseSource","caseSourceState","lcDisagreement","certReason","lcDisposition","lcDispositionDirection","declarationUncon","caseDisposition","caseDispositionUnusual","partyWinning","precedentAlteration","voteUnclear","issue","issueArea","decisionDirection","decisionDirectionDissent","authorityDecision1","authorityDecision2","lawType","lawSupp","lawMinor","majOpinWriter","majOpinAssigner","splitVote","majVotes","minVotes"
"1980-001","1980-001-01","1980-001-01-01","1980-001-01-01-01",10/20/1980,2,"449 U.S. 1","101 S. Ct. 42","66 L. Ed. 2d 1","1980 U.S. LEXIS 151",1980,1506,"Burger","79-1901","COLORADO v. BANNISTER",,,28,7,100,,1,,,0,302,7,300,7,0,12,2,2,1,5,0,1,0,0,10060,1,1,0,2,,2,205,,,99,1,9,0
"1980-002","1980-002-01","1980-002-01-01","1980-002-01-01-01",11/10/1980,2,"449 U.S. 5","101 S. Ct. 173","66 L. Ed. 2d 163","1980 U.S. LEXIS 1",1980,1506,"Burger","79-6000","HUGHES v. ROWE et al.",,,215,,19,17,1,117,17,0,66,,27,,1,12,2,1,1,4,0,1,0,0,60010,6,2,0,4,,3,328,,,92,1,7,1
"1980-003","1980-003-01","1980-003-01-01","1980-003-01-01-01",11/17/1980,1,"449 U.S. 24","101 S. Ct. 183","66 L. Ed. 2d 185","1980 U.S. LEXIS 9",1980,1506,"Burger","79-1186","DENNIS v. SPARKS et al., DBA SIDNEY A. SPARKS, TRUSTEE",10/8/1980,,214,,187,,1,,,0,121,,25,,0,3,3,2,1,2,0,0,0,0,20400,2,2,0,4,,3,314,,95,99,1,9,0
"1980-004","1980-004-01","1980-004-01-01","1980-004-01-01-01",11/17/1980,2,"449 U.S. 33","101 S. Ct. 188","66 L. Ed. 2d 193","1980 U.S. LEXIS 152",1980,1506,"Burger","79-1895","ALLIED CHEMICAL CORP. et al. v. DAIFLON, INC.",,,128,,233,,1,,,0,107,,30,,0,12,6,2,1,3,0,1,0,0,90330,9,1,0,3,,,,,,99,1,5,0
"1980-005","1980-005-01","1980-005-01-01","1980-005-01-01-01",11/17/1980,2,"449 U.S. 39","101 S. Ct. 192","66 L. Ed. 2d 199","1980 U.S. LEXIS 2",1980,1506,"Burger","80-321","STONE et al. v. GRAHAM, SUPERINTENDENT OF PUBLIC INSTRUCTION OF KENTUCKY",,,130,,28,21,1,,,0,302,21,300,21,1,12,2,1,3,3,0,1,0,0,30170,3,2,0,2,,2,203,,,92,1,5,2
"1980-006","1980-006-01","1980-006-01-01","1980-006-01-01-01",12/1/1980,4,"449 U.S. 48","101 S. Ct. 557","66 L. Ed. 2d 253","1980 U.S. LEXIS 153",1980,1506,"Burger","1 ORIG","WISCONSIN et al. v. ILLINOIS et al.",,,28,58,28,17,9,,,0,,,,,0,1,,,1,,0,0,0,0,110020,11,3,0,3,,,,,,99,1,8,0
"1980-007","1980-007-01","1980-007-01-01","1980-007-01-01-01",12/2/1980,1,"449 U.S. 54","101 S. Ct. 289","66 L. Ed. 2d 258","1980 U.S. LEXIS 154",1980,1506,"Burger","79-1003","COUNTY OF IMPERIAL, CALIFORNIA, et al. v. MUNOZ et al.",10/15/1980,,5,6,159,,1,,,0,51,,29,,0,12,2,2,1,5,0,1,0,0,90090,9,1,0,4,,6,600,"28 U.S.C. § 2283",94,99,1,6,2
"1980-008","1980-008-01","1980-008-01-01","1980-008-01-01-01",12/2/1980,1,"449 U.S. 64","101 S. Ct. 295","66 L. Ed. 2d 268","1980 U.S. LEXIS 56",1980,1506,"Burger","79-770","ENVIRONMENTAL PROTECTION AGENCY v. NATIONAL CRUSHED STONE ASSOCIATION et al.",10/7/1980,,333,,187,,1,33,,0,24,,24,,0,2,3,1,1,3,0,1,0,0,80130,8,2,0,4,5,3,338,,95,99,1,8,0
"1980-009","1980-009-01","1980-009-01-01","1980-009-01-01-01",12/8/1980,2,"449 U.S. 86","101 S. Ct. 308","66 L. Ed. 2d 304","1980 U.S. LEXIS 155",1980,1506,"Burger","79-2040","PACILEO, SHERIFF v. WALKER",,,28,6,215,,1,,,0,302,6,300,6,0,12,,2,1,4,0,1,0,0,90020,9,1,0,2,,1,145,,,99,1,8,0
"1980-010","1980-010-01","1980-010-01-01","1980-010-01-01-01",12/9/1980,1,"449 U.S. 90","101 S. Ct. 411","66 L. Ed. 2d 308","1980 U.S. LEXIS 156",1980,1506,"Burger","79-935","ALLEN et al. v. MCCURRY",10/8/1980,,19,30,126,,1,,,0,86,,28,,0,11,3,2,1,4,0,1,0,0,20400,2,1,0,4,7,3,314,,94,99,1,6,3
